hashtag,count,sentiment,date
#NOMASTPP,1,0.0,2016-03-25
#ERFAO,1,0.0,2016-03-25
#studiocat,1,0.0,2016-03-25
#xandercagereturns,1,0.0,2016-03-25
#Cruz,1,0.3818,2016-03-25
#Fly,2,0.26995,2016-03-25
#Update,1,0.4574,2016-03-25
#Antoine,1,0.1779,2016-03-25
#undertaker,1,0.9558,2016-03-25
#Santiago,1,0.0,2016-03-25
#ReadyForWar,1,0.0,2016-03-25
#LulaLixoMundial,2,0.0,2016-03-25
#TCOT,1,-0.4389,2016-03-25
#kcon2016abudhabi,1,0.0,2016-03-25
#WeAreND,1,-0.826,2016-03-25
#feriadotop,1,0.0,2016-03-25
#BernieBird,1,0.5859,2016-03-25
#coffee,1,0.0,2016-03-25
